iter	Passed	Remaining
0	3	715
1	6	726
2	8	649
3	10	586
4	11	548
5	14	562
6	17	572
7	21	607
8	23	585
9	26	587
10	29	607
11	31	585
12	33	569
13	34	554
14	37	556
15	39	540
16	40	527
17	42	515
18	45	516
19	47	511
20	49	505
21	51	499
22	54	500
23	55	492
24	57	487
25	59	479
26	62	482
27	64	478
28	65	470
29	67	465
30	70	464
31	72	460
32	73	454
33	75	450
34	79	456
35	81	452
36	83	449
37	86	450
38	88	446
39	90	441
40	92	438
41	94	438
42	97	435
43	99	433
44	103	438
45	104	432
46	106	429
47	108	424
48	112	427
49	113	423
50	115	419
51	118	418
52	120	415
53	122	411
54	123	407
55	125	404
56	127	400
57	129	397
58	131	393
59	133	390
60	135	387
61	137	384
62	138	381
63	140	377
64	142	375
65	144	371
66	146	368
67	147	364
68	149	361
69	151	359
70	153	356
71	155	353
72	156	350
73	159	348
74	160	345
75	162	341
76	163	338
77	166	336
78	167	333
79	169	330
80	171	327
81	172	324
82	175	322
83	177	320
84	178	317
85	180	314
86	182	313
87	184	310
88	186	307
89	187	304
90	189	301
91	192	300
92	193	297
93	195	295
94	197	292
95	199	290
96	200	287
97	202	285
98	204	282
99	206	281
100	208	278
101	210	276
102	212	274
103	214	272
104	218	271
105	219	269
106	221	267
107	224	265
108	226	263
109	227	260
110	230	259
111	232	257
112	234	255
113	236	252
114	238	251
115	240	248
116	242	246
117	243	243
118	245	241
119	247	239
120	249	237
121	251	234
122	252	232
123	255	230
124	257	228
125	259	226
126	260	223
127	263	222
128	265	220
129	267	217
130	268	215
131	270	213
132	272	210
133	274	208
134	275	206
135	277	203
136	279	201
137	281	199
138	283	198
139	287	197
140	290	195
141	293	194
142	295	192
143	297	190
144	299	187
145	300	185
146	302	183
147	304	180
148	305	178
149	307	176
150	308	173
151	310	171
152	312	169
153	313	167
154	315	164
155	316	162
156	318	160
157	319	157
158	321	155
159	323	153
160	324	151
161	326	149
162	327	146
163	329	144
164	331	142
165	332	140
166	333	137
167	335	135
168	337	133
169	338	131
170	340	129
171	341	127
172	343	125
173	344	122
174	346	120
175	347	118
176	349	116
177	350	114
178	352	112
179	353	110
180	355	107
181	356	105
182	358	103
183	359	101
184	361	99
185	362	97
186	363	95
187	365	93
188	366	91
189	368	89
190	370	87
191	371	85
192	373	83
193	374	81
194	376	79
195	377	77
196	379	75
197	380	73
198	382	71
199	383	69
200	385	67
201	387	65
202	388	63
203	390	61
204	391	59
205	393	57
206	395	55
207	396	53
208	398	51
209	399	49
210	401	47
211	402	45
212	404	43
213	405	41
214	407	39
215	408	37
216	410	35
217	411	34
218	413	32
219	415	30
220	416	28
221	418	26
222	419	24
223	420	22
224	422	20
225	424	18
226	425	16
227	427	15
228	428	13
229	430	11
230	432	9
231	433	7
232	435	5
233	437	3
234	438	1
235	440	0
